 Card Number	Card Type	Length [m]	Alive [%]	x Average [m]	x' Average [rad]	y Average [m]	y' Average [rad]	Phase Average [rad]	Momentum Average [GeV/c]	Kinetic Energy Average [GeV]	Rest Energy Average [GeV]	RF Phase [deg]	Power loss [watt]
     4	   9	    0.130000000000000E-01	    0.100000000000000E+03	   -0.275495445103381E-04	   -0.238448823521067E-03	    0.934349938322695E-04	   -0.844125525774649E-04	    0.704311885081731E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.140000000000000E-01	    0.100000000000000E+03	   -0.277879933338588E-04	   -0.238448823521067E-03	    0.933505812796923E-04	   -0.844125525774649E-04	    0.704443679861336E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.140000000000000E-01	    0.100000000000000E+03	   -0.277879933338588E-04	   -0.238448823521067E-03	    0.933505812796923E-04	   -0.844125525774649E-04	    0.704443679861336E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.150000000000000E-01	    0.100000000000000E+03	   -0.280264421573803E-04	   -0.238448823521067E-03	    0.932661687271144E-04	   -0.844125525774649E-04	    0.704575474640945E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.150000000000000E-01	    0.100000000000000E+03	   -0.280264421573803E-04	   -0.238448823521067E-03	    0.932661687271144E-04	   -0.844125525774649E-04	    0.704575474640945E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.160000000000000E-01	    0.100000000000000E+03	   -0.282648909808976E-04	   -0.238448823521067E-03	    0.931817561745376E-04	   -0.844125525774649E-04	    0.704707269420548E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.160000000000000E-01	    0.100000000000000E+03	   -0.282648909808976E-04	   -0.238448823521067E-03	    0.931817561745376E-04	   -0.844125525774649E-04	    0.704707269420548E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.170000000000000E-01	    0.100000000000000E+03	   -0.285033398044225E-04	   -0.238448823521067E-03	    0.930973436219590E-04	   -0.844125525774649E-04	    0.704839064200156E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.170000000000000E-01	    0.100000000000000E+03	   -0.285033398044225E-04	   -0.238448823521067E-03	    0.930973436219590E-04	   -0.844125525774649E-04	    0.704839064200156E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.180000000000000E-01	    0.100000000000000E+03	   -0.287417886279437E-04	   -0.238448823521067E-03	    0.930129310693827E-04	   -0.844125525774649E-04	    0.704970858979759E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.180000000000000E-01	    0.100000000000000E+03	   -0.287417886279437E-04	   -0.238448823521067E-03	    0.930129310693827E-04	   -0.844125525774649E-04	    0.704970858979759E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.190000000000000E-01	    0.100000000000000E+03	   -0.289802374514645E-04	   -0.238448823521067E-03	    0.929285185168043E-04	   -0.844125525774649E-04	    0.705102653759367E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.190000000000000E-01	    0.100000000000000E+03	   -0.289802374514645E-04	   -0.238448823521067E-03	    0.929285185168043E-04	   -0.844125525774649E-04	    0.705102653759367E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.200000000000000E-01	    0.100000000000000E+03	   -0.292186862749850E-04	   -0.238448823521067E-03	    0.928441059642280E-04	   -0.844125525774649E-04	    0.705234448538968E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.200000000000000E-01	    0.100000000000000E+03	   -0.292186862749850E-04	   -0.238448823521067E-03	    0.928441059642280E-04	   -0.844125525774649E-04	    0.705234448538968E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.210000000000000E-01	    0.100000000000000E+03	   -0.294571350985068E-04	   -0.238448823521067E-03	    0.927596934116503E-04	   -0.844125525774649E-04	    0.705366243318577E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.210000000000000E-01	    0.100000000000000E+03	   -0.294571350985068E-04	   -0.238448823521067E-03	    0.927596934116503E-04	   -0.844125525774649E-04	    0.705366243318577E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.220000000000000E-01	    0.100000000000000E+03	   -0.296955839220281E-04	   -0.238448823521067E-03	    0.926752808590719E-04	   -0.844125525774649E-04	    0.705498038098179E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.220000000000000E-01	    0.100000000000000E+03	   -0.296955839220281E-04	   -0.238448823521067E-03	    0.926752808590719E-04	   -0.844125525774649E-04	    0.705498038098179E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.230000000000000E-01	    0.100000000000000E+03	   -0.299340327455489E-04	   -0.238448823521067E-03	    0.925908683064950E-04	   -0.844125525774649E-04	    0.705629832877785E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.230000000000000E-01	    0.100000000000000E+03	   -0.299340327455489E-04	   -0.238448823521067E-03	    0.925908683064950E-04	   -0.844125525774649E-04	    0.705629832877785E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.240000000000000E-01	    0.100000000000000E+03	   -0.301724815690672E-04	   -0.238448823521067E-03	    0.925064557539181E-04	   -0.844125525774649E-04	    0.705761627657391E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.240000000000000E-01	    0.100000000000000E+03	   -0.301724815690672E-04	   -0.238448823521067E-03	    0.925064557539181E-04	   -0.844125525774649E-04	    0.705761627657391E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.250000000000000E-01	    0.100000000000000E+03	   -0.304109303925911E-04	   -0.238448823521067E-03	    0.924220432013395E-04	   -0.844125525774649E-04	    0.705893422436991E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.250000000000000E-01	    0.100000000000000E+03	   -0.304109303925911E-04	   -0.238448823521067E-03	    0.924220432013395E-04	   -0.844125525774649E-04	    0.705893422436991E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.260000000000000E-01	    0.100000000000000E+03	   -0.306493792161122E-04	   -0.238448823521067E-03	    0.923376306487616E-04	   -0.844125525774649E-04	    0.706025217216597E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.260000000000000E-01	    0.100000000000000E+03	   -0.306493792161122E-04	   -0.238448823521067E-03	    0.923376306487616E-04	   -0.844125525774649E-04	    0.706025217216597E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.270000000000000E-01	    0.100000000000000E+03	   -0.308878280396336E-04	   -0.238448823521067E-03	    0.922532180961834E-04	   -0.844125525774649E-04	    0.706157011996199E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.270000000000000E-01	    0.100000000000000E+03	   -0.308878280396336E-04	   -0.238448823521067E-03	    0.922532180961834E-04	   -0.844125525774649E-04	    0.706157011996199E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.280000000000000E-01	    0.100000000000000E+03	   -0.311262768631537E-04	   -0.238448823521067E-03	    0.921688055436075E-04	   -0.844125525774649E-04	    0.706288806775810E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.280000000000000E-01	    0.100000000000000E+03	   -0.311262768631537E-04	   -0.238448823521067E-03	    0.921688055436075E-04	   -0.844125525774649E-04	    0.706288806775810E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.290000000000000E-01	    0.100000000000000E+03	   -0.313647256866761E-04	   -0.238448823521067E-03	    0.920843929910296E-04	   -0.844125525774649E-04	    0.706420601555417E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.290000000000000E-01	    0.100000000000000E+03	   -0.313647256866761E-04	   -0.238448823521067E-03	    0.920843929910296E-04	   -0.844125525774649E-04	    0.706420601555417E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.300000000000000E-01	    0.100000000000000E+03	   -0.316031745101968E-04	   -0.238448823521067E-03	    0.919999804384523E-04	   -0.844125525774649E-04	    0.706552396335012E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.300000000000000E-01	    0.100000000000000E+03	   -0.316031745101968E-04	   -0.238448823521067E-03	    0.919999804384523E-04	   -0.844125525774649E-04	    0.706552396335012E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.310000000000000E-01	    0.100000000000000E+03	   -0.318416233337179E-04	   -0.238448823521067E-03	    0.919155678858745E-04	   -0.844125525774649E-04	    0.706684191114621E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.310000000000000E-01	    0.100000000000000E+03	   -0.318416233337179E-04	   -0.238448823521067E-03	    0.919155678858745E-04	   -0.844125525774649E-04	    0.706684191114621E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.320000000000000E-01	    0.100000000000000E+03	   -0.320800721572380E-04	   -0.238448823521067E-03	    0.918311553332943E-04	   -0.844125525774649E-04	    0.706815985894234E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.320000000000000E-01	    0.100000000000000E+03	   -0.320800721572380E-04	   -0.238448823521067E-03	    0.918311553332943E-04	   -0.844125525774649E-04	    0.706815985894234E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.330000000000000E-01	    0.100000000000000E+03	   -0.323185209807601E-04	   -0.238448823521067E-03	    0.917467427807197E-04	   -0.844125525774649E-04	    0.706947780673834E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.330000000000000E-01	    0.100000000000000E+03	   -0.323185209807601E-04	   -0.238448823521067E-03	    0.917467427807197E-04	   -0.844125525774649E-04	    0.706947780673834E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.340000000000000E-01	    0.100000000000000E+03	   -0.325569698042813E-04	   -0.238448823521067E-03	    0.916623302281426E-04	   -0.844125525774649E-04	    0.707079575453441E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.340000000000000E-01	    0.100000000000000E+03	   -0.325569698042813E-04	   -0.238448823521067E-03	    0.916623302281426E-04	   -0.844125525774649E-04	    0.707079575453441E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.350000000000000E-01	    0.100000000000000E+03	   -0.327954186278021E-04	   -0.238448823521067E-03	    0.915779176755641E-04	   -0.844125525774649E-04	    0.707211370233041E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.350000000000000E-01	    0.100000000000000E+03	   -0.327954186278021E-04	   -0.238448823521067E-03	    0.915779176755641E-04	   -0.844125525774649E-04	    0.707211370233041E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.360000000000000E-01	    0.100000000000000E+03	   -0.330338674513226E-04	   -0.238448823521067E-03	    0.914935051229881E-04	   -0.844125525774649E-04	    0.707343165012646E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.360000000000000E-01	    0.100000000000000E+03	   -0.330338674513226E-04	   -0.238448823521067E-03	    0.914935051229881E-04	   -0.844125525774649E-04	    0.707343165012646E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.370000000000000E-01	    0.100000000000000E+03	   -0.332723162748446E-04	   -0.238448823521067E-03	    0.914090925704091E-04	   -0.844125525774649E-04	    0.707474959792251E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.370000000000000E-01	    0.100000000000000E+03	   -0.332723162748446E-04	   -0.238448823521067E-03	    0.914090925704091E-04	   -0.844125525774649E-04	    0.707474959792251E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.380000000000000E-01	    0.100000000000000E+03	   -0.335107650983657E-04	   -0.238448823521067E-03	    0.913246800178318E-04	   -0.844125525774649E-04	    0.707606754571859E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.380000000000000E-01	    0.100000000000000E+03	   -0.335107650983657E-04	   -0.238448823521067E-03	    0.913246800178318E-04	   -0.844125525774649E-04	    0.707606754571859E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.390000000000000E-01	    0.100000000000000E+03	   -0.337492139218869E-04	   -0.238448823521067E-03	    0.912402674652543E-04	   -0.844125525774649E-04	    0.707738549351463E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.390000000000000E-01	    0.100000000000000E+03	   -0.337492139218869E-04	   -0.238448823521067E-03	    0.912402674652543E-04	   -0.844125525774649E-04	    0.707738549351463E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.400000000000000E-01	    0.100000000000000E+03	   -0.339876627454052E-04	   -0.238448823521067E-03	    0.911558549126778E-04	   -0.844125525774649E-04	    0.707870344131069E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.400000000000000E-01	    0.100000000000000E+03	   -0.339876627454052E-04	   -0.238448823521067E-03	    0.911558549126778E-04	   -0.844125525774649E-04	    0.707870344131069E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.410000000000000E-01	    0.100000000000000E+03	   -0.342261115689292E-04	   -0.238448823521067E-03	    0.910714423600997E-04	   -0.844125525774649E-04	    0.708002138910676E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.410000000000000E-01	    0.100000000000000E+03	   -0.342261115689292E-04	   -0.238448823521067E-03	    0.910714423600997E-04	   -0.844125525774649E-04	    0.708002138910676E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.420000000000000E-01	    0.100000000000000E+03	   -0.344645603924498E-04	   -0.238448823521067E-03	    0.909870298075213E-04	   -0.844125525774649E-04	    0.708133933690277E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.420000000000000E-01	    0.100000000000000E+03	   -0.344645603924498E-04	   -0.238448823521067E-03	    0.909870298075213E-04	   -0.844125525774649E-04	    0.708133933690277E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.430000000000000E-01	    0.100000000000000E+03	   -0.347030092159713E-04	   -0.238448823521067E-03	    0.909026172549452E-04	   -0.844125525774649E-04	    0.708265728469885E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     4	   9	    0.430000000000000E-01	    0.100000000000000E+03	   -0.347030092159713E-04	   -0.238448823521067E-03	    0.909026172549452E-04	   -0.844125525774649E-04	    0.708265728469885E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
     5	   3	    0.440000000000000E-01	    0.100000000000000E+03	   -0.349414580394914E-04	   -0.238448823521067E-03	    0.908182047023679E-04	   -0.844125525774649E-04	    0.708397523249491E+00	    0.638885690443154E-01	    0.182629361492551E-03	    0.111748622150708E+02	    0.000000000000000E+00	    0.000000000000000E+00
